Country,Religion,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Iran,Middle East,https://www.countryflags.io/ir/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iraq,Middle East,https://www.countryflags.io/iq/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Russia,Europe,https://www.countryflags.io/ru/flat/64.png,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,8,11,13,13,14,15,20,22,25,27,29,30,38,40,40,43,47,47
United Kingdom,Europe,https://www.countryflags.io/gb/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,7,9,9,10,10,11,11,11,12,12,13,16,16,17,17,19,19,19
Turkey,Europe,https://www.countryflags.io/tr/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,6,7,7,7,7,7,8,9,9,9,13,18,20,24,38,42,48,54,59,60,60
Germany,Europe,https://www.countryflags.io/de/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,4,4,4,4,4,4,5,5,5,7,7,7,7,8,8,9,9,9,10,10,11,11,11,11,11,12,12,13,13,14,15,15,15,15,15,17,17
Spain,Europe,https://www.countryflags.io/es/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,9,9,9,10,10,10,10,10,11,11,11,11,11
France,Europe,https://www.countryflags.io/fr/flat/64.png,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,9,9,9,9,10,10,11,12,12,12,12,12,12,14,14,14,15,15,16,18,19,19,20,20,21,21
Poland,Europe,https://www.countryflags.io/pl/flat/64.png,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,5,6,6,9,9,10,10,10
Austria,Europe,https://www.countryflags.io/at/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Italy,Europe,https://www.countryflags.io/it/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,4,5,5,5,5
