id,year,month,day,session,speaker,title,hyperlink
273,1974,April,Saturday,A,Theodore M. Burton,The Power of Elijah,https://www.churchofjesuschrist.org/study/general-conference/1974/04/the-power-of-elijah
274,1974,April,Saturday,A,S. Dilworth Young,That the Scriptures Might Be Fulfilled,https://www.churchofjesuschrist.org/study/general-conference/1974/04/that-the-scriptures-might-be-fulfilled
275,1974,April,Saturday,A,Franklin D. Richards,Testimony,https://www.churchofjesuschrist.org/study/general-conference/1974/04/testimony
276,1974,April,Saturday,A,Mark E. Petersen,The People Say “Amen”,https://www.churchofjesuschrist.org/study/general-conference/1974/04/the-people-say-amen
277,1974,April,Saturday,M,N. Eldon Tanner,The Solemn Assembly,https://www.churchofjesuschrist.org/study/general-conference/1974/04/the-solemn-assembly
278,1974,April,Saturday,M,Thomas S. Monson,The Paths Jesus Walked,https://www.churchofjesuschrist.org/study/general-conference/1974/04/the-paths-jesus-walked
279,1974,April,Saturday,M,Spencer W. Kimball,What Do We Hear?,https://www.churchofjesuschrist.org/study/general-conference/1974/04/what-do-we-hear
280,1974,April,Friday,A,Marvin J. Ashton,A Time of Urgency,https://www.churchofjesuschrist.org/study/general-conference/1974/04/a-time-of-urgency
281,1974,April,Friday,A,William H. Bennett,Inertia,https://www.churchofjesuschrist.org/study/general-conference/1974/04/inertia
282,1974,April,Friday,A,H. Burke Peterson,"Mother, Catch the Vision of Your Call",https://www.churchofjesuschrist.org/study/general-conference/1974/04/mother-catch-the-vision-of-your-call
283,1974,April,Friday,A,James A. Cullimore,Justice and Mercy,https://www.churchofjesuschrist.org/study/general-conference/1974/04/justice-and-mercy
284,1974,April,Friday,A,Loren C. Dunn,Hanging On,https://www.churchofjesuschrist.org/study/general-conference/1974/04/hanging-on
285,1974,April,Friday,A,ElRay L. Christiansen,Three Important Questions,https://www.churchofjesuschrist.org/study/general-conference/1974/04/three-important-questions
286,1974,April,Friday,A,Gordon B. Hinckley,The Marriage That Endures,https://www.churchofjesuschrist.org/study/general-conference/1974/04/the-marriage-that-endures
287,1974,April,Friday,M,Howard W. Hunter,His Final Hours,https://www.churchofjesuschrist.org/study/general-conference/1974/04/his-final-hours
288,1974,April,Friday,M,Paul H. Dunn,"Parents, Teach Your Children",https://www.churchofjesuschrist.org/study/general-conference/1974/04/parents-teach-your-children
289,1974,April,Friday,M,John H. Vandenberg,Touchstone of Truth,https://www.churchofjesuschrist.org/study/general-conference/1974/04/touchstone-of-truth
290,1974,April,Friday,M,Joseph Anderson,Strength of the Spirit,https://www.churchofjesuschrist.org/study/general-conference/1974/04/strength-of-the-spirit
291,1974,April,Friday,M,Spencer W. Kimball,Guidelines to Carry Forth the Work of God in Cleanliness,https://www.churchofjesuschrist.org/study/general-conference/1974/04/guidelines-to-carry-forth-the-work-of-god-in-cleanliness
292,1974,October,General,Wel,Spencer W. Kimball,"Address Given by President Spencer W. Kimball at Welfare Services Meeting Saturday, October 5, 1974",https://www.churchofjesuschrist.org/study/general-conference/1974/10/welfare-services-kimball
293,1974,October,General,Wel,Marion G. Romney,"Address Given by President Marion G. Romney at Welfare Services Meeting Saturday, October 5, 1974",https://www.churchofjesuschrist.org/study/general-conference/1974/10/welfare-services-romney
294,1974,October,Sunday,A,Spencer W. Kimball,Ocean Currents and Family Influences,https://www.churchofjesuschrist.org/study/general-conference/1974/10/ocean-currents-and-family-influences
295,1974,October,Sunday,A,Thomas S. Monson,My Personal Hall of Fame,https://www.churchofjesuschrist.org/study/general-conference/1974/10/my-personal-hall-of-fame
296,1974,October,Sunday,A,Franklin D. Richards,The Blessings of Peace,https://www.churchofjesuschrist.org/study/general-conference/1974/10/the-blessings-of-peace
297,1974,October,Sunday,A,Victor L. Brown,Is There Not a Cause?,https://www.churchofjesuschrist.org/study/general-conference/1974/10/is-there-not-a-cause
298,1974,October,Sunday,A,Joseph Anderson,A Testimony of Christ,https://www.churchofjesuschrist.org/study/general-conference/1974/10/a-testimony-of-christ
299,1974,October,Sunday,A,Gordon B. Hinckley,A City Set upon a Hill,https://www.churchofjesuschrist.org/study/general-conference/1974/10/a-city-set-upon-a-hill
300,1974,October,Sunday,M,Howard W. Hunter,To Know God,https://www.churchofjesuschrist.org/study/general-conference/1974/10/to-know-god
301,1974,October,Sunday,M,John H. Vandenberg,Truth Will Emerge Victorious,https://www.churchofjesuschrist.org/study/general-conference/1974/10/truth-will-emerge-victorious
302,1974,October,Sunday,M,S. Dilworth Young,“For Thy Servant Heareth”,https://www.churchofjesuschrist.org/study/general-conference/1974/10/for-thy-servant-heareth
303,1974,October,Sunday,M,Boyd K. Packer,"Where Much Is Given, Much Is Required",https://www.churchofjesuschrist.org/study/general-conference/1974/10/where-much-is-given-much-is-required
304,1974,October,Sunday,M,N. Eldon Tanner,Why Is My Boy Wandering Tonight?,https://www.churchofjesuschrist.org/study/general-conference/1974/10/why-is-my-boy-wandering-tonight
305,1974,October,General,P,Spencer W. Kimball,The Davids and the Goliaths,https://www.churchofjesuschrist.org/study/general-conference/1974/10/the-davids-and-the-goliaths
306,1974,October,General,P,N. Eldon Tanner,Our Responsibility to the Transgressor,https://www.churchofjesuschrist.org/study/general-conference/1974/10/our-responsibility-to-the-transgressor
307,1974,October,General,P,Marion G. Romney,Integrity,https://www.churchofjesuschrist.org/study/general-conference/1974/10/integrity
308,1974,October,General,P,A. Theodore Tuttle,Your Mission Preparation,https://www.churchofjesuschrist.org/study/general-conference/1974/10/your-mission-preparation
309,1974,October,General,P,H. Burke Peterson,As a Beacon on a Hill,https://www.churchofjesuschrist.org/study/general-conference/1974/10/as-a-beacon-on-a-hill
310,1974,October,Saturday,A,Ezra Taft Benson,Do Not Despair,https://www.churchofjesuschrist.org/study/general-conference/1974/10/do-not-despair
311,1974,October,Saturday,A,J. Thomas Fyans,Making Conferences Turning Points in Our Lives,https://www.churchofjesuschrist.org/study/general-conference/1974/10/making-conferences-turning-points-in-our-lives
312,1974,October,Saturday,A,Sterling W. Sill,Transfusion,https://www.churchofjesuschrist.org/study/general-conference/1974/10/transfusion
313,1974,October,Saturday,A,James E. Faust,A New Aristocracy,https://www.churchofjesuschrist.org/study/general-conference/1974/10/a-new-aristocracy
314,1974,October,Saturday,A,Bernard P. Brockbank,The Divine Power of Repentance,https://www.churchofjesuschrist.org/study/general-conference/1974/10/the-divine-power-of-repentance
315,1974,October,Saturday,A,Theodore M. Burton,“Blessed Are the Peacemakers”,https://www.churchofjesuschrist.org/study/general-conference/1974/10/blessed-are-the-peacemakers
316,1974,October,Saturday,A,LeGrand Richards,What after Death?,https://www.churchofjesuschrist.org/study/general-conference/1974/10/what-after-death
317,1974,October,Saturday,M,Mark E. Petersen,Eternal Togetherness,https://www.churchofjesuschrist.org/study/general-conference/1974/10/eternal-togetherness
318,1974,October,Saturday,M,Robert L. Simpson,The Most Vital Information,https://www.churchofjesuschrist.org/study/general-conference/1974/10/the-most-vital-information
319,1974,October,Saturday,M,Rex D. Pinegar,We Need to Continue in Righteousness,https://www.churchofjesuschrist.org/study/general-conference/1974/10/we-need-to-continue-in-righteousness
320,1974,October,Saturday,M,Marvin J. Ashton,Who’s Losing?,https://www.churchofjesuschrist.org/study/general-conference/1974/10/whos-losing
321,1974,October,Saturday,M,Marion G. Romney,How Men Are Saved,https://www.churchofjesuschrist.org/study/general-conference/1974/10/how-men-are-saved
322,1974,October,Friday,A,Bruce R. McConkie,Be Valiant in the Fight of Faith,https://www.churchofjesuschrist.org/study/general-conference/1974/10/be-valiant-in-the-fight-of-faith
323,1974,October,Friday,A,O. Leslie Stone,The Beatitudes,https://www.churchofjesuschrist.org/study/general-conference/1974/10/the-beatitudes
324,1974,October,Friday,A,Vaughn J. Featherstone,The Savior’s Program for the Care of the Aged,https://www.churchofjesuschrist.org/study/general-conference/1974/10/the-saviors-program-for-the-care-of-the-aged
325,1974,October,Friday,A,James A. Cullimore,Gifts of the Spirit,https://www.churchofjesuschrist.org/study/general-conference/1974/10/gifts-of-the-spirit
326,1974,October,Friday,A,Eldred G. Smith,Do Not Procrastinate!,https://www.churchofjesuschrist.org/study/general-conference/1974/10/do-not-procrastinate
327,1974,October,Friday,A,ElRay L. Christiansen,Power over Satan,https://www.churchofjesuschrist.org/study/general-conference/1974/10/power-over-satan
328,1974,October,Friday,A,Delbert L. Stapley,Good Habits Develop Good Character,https://www.churchofjesuschrist.org/study/general-conference/1974/10/good-habits-develop-good-character
